City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Amiens,FR,49.9,2.3,59.04,60,100,6.8,overcast clouds
136,Mujiayingzi,CN,42.1167,118.7833,44.51,47,100,18.48,overcast clouds
137,Arona,ES,28.0996,-16.681,64.81,67,20,23.02,few clouds
138,Dodge City,US,37.7528,-100.0171,64.26,42,0,5.99,clear sky
139,Ponta Do Sol,PT,32.6667,-17.1,67.06,78,59,5.53,broken clouds
140,Tuatapere,NZ,-46.1333,167.6833,56.07,94,97,1.99,overcast clouds
141,Avarua,CK,-21.2078,-159.775,80.65,89,40,6.91,scattered clouds
142,Mar Del Plata,AR,-38.0023,-57.5575,80.62,85,20,17.0,few clouds
143,Luderitz,NA,-26.6481,15.1594,61.63,86,2,2.68,clear sky
144,Liku,ID,-0.7275,119.8922,74.43,88,98,2.35,overcast clouds
145,Harper,LR,4.375,-7.7169,81.27,84,100,2.98,overcast clouds
146,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,82,20,8.32,few clouds
147,Kupang,ID,-10.1667,123.5833,77.81,84,100,1.01,overcast clouds
148,Octeville,FR,49.6261,-1.6435,54.09,71,100,4.61,overcast clouds
149,Crnici,BA,43.1289,17.8667,55.18,58,0,6.91,clear sky
150,Alice Springs,AU,-23.7,133.8833,69.22,32,0,4.61,clear sky
151,Port Alfred,ZA,-33.5906,26.891,84.18,46,87,1.01,overcast clouds
152,Beyneu,KZ,45.3167,55.2,31.98,65,11,24.56,few clouds
153,Karabulak,RU,43.3036,44.8964,23.99,78,20,3.71,few clouds
154,Guerrero Negro,MX,27.9769,-114.0611,69.24,47,100,9.06,overcast clouds
155,Bousse,BF,12.6606,-1.8922,91.33,6,0,9.86,clear sky
156,Kruisfontein,ZA,-34.0033,24.7314,70.88,74,100,11.97,overcast clouds
157,Manadhoo,MV,5.7667,73.3833,82.81,70,0,1.68,clear sky
158,Poum,NC,-20.2333,164.0167,80.67,80,100,19.39,overcast clouds
159,Tiznit,MA,29.5833,-9.5,62.67,69,54,4.63,broken clouds
160,Ust-Ilimsk,RU,58.0006,102.6619,6.53,99,98,3.8,overcast clouds
161,Mackay,AU,-21.15,149.2,69.78,94,6,5.75,clear sky
162,Kaitangata,NZ,-46.2817,169.8464,55.2,96,100,0.81,overcast clouds
163,Matay,EG,28.419,30.7792,64.78,30,1,16.93,clear sky
164,Fujinomiya,JP,35.2167,138.6167,49.59,89,99,3.98,overcast clouds
165,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,1.14,scattered clouds
166,Te Anau,NZ,-45.4167,167.7167,52.16,94,99,0.87,overcast clouds
167,Riyadh,SA,24.6877,46.7219,66.34,16,0,9.13,clear sky
168,Roma,US,43.2128,-75.4557,21.09,66,100,24.16,overcast clouds
169,Ostrovnoy,RU,68.0531,39.5131,22.66,79,100,18.54,light snow
170,Bethel,US,41.3712,-73.414,30.02,47,100,17.0,overcast clouds
171,Isangel,VU,-19.55,169.2667,78.06,86,98,7.67,overcast clouds
172,Kenora,CA,49.8167,-94.4337,25.77,28,40,9.22,scattered clouds
173,Samana,DO,19.2056,-69.3369,80.82,83,75,4.61,broken clouds
174,Coihaique,CL,-45.5752,-72.0662,47.01,87,100,12.66,light intensity shower rain
175,Tiarei,PF,-17.5333,-149.3333,84.22,76,100,16.6,overcast clouds
176,Muravlenko,RU,63.7898,74.523,21.63,93,100,16.17,overcast clouds
