City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Itarema,BR,2022-03-25 16:22:12,-2.9248,-39.9167,83.71,72,29,8.95
106,Busselton,AU,2022-03-25 16:22:12,-33.65,115.3333,71.74,52,100,3.98
107,Karatau,KZ,2022-03-25 16:22:14,43.1667,70.4667,43.74,81,100,5.86
108,Sovetskiy,RU,2022-03-25 16:22:14,61.3614,63.5842,14.27,79,52,11.1
109,Kruisfontein,ZA,2022-03-25 16:22:14,-34.0033,24.7314,61.88,76,100,3.89
110,Kamenka,RU,2022-03-25 16:22:15,51.3223,42.7678,30.7,97,100,4.56
111,San Antonio,US,2022-03-25 16:22:14,29.4241,-98.4936,78.15,20,0,4.61
112,Nome,US,2022-03-25 16:22:16,64.5011,-165.4064,14.16,85,75,0.0
113,Kodiak,US,2022-03-25 16:22:16,57.79,-152.4072,36.91,87,100,13.8
114,Apac,UG,2022-03-25 16:22:16,1.9756,32.5386,72.64,77,69,6.76
115,Husavik,IS,2022-03-25 16:22:17,66.0449,-17.3389,27.07,94,100,10.58
116,Bethel,US,2022-03-25 16:22:17,41.3712,-73.414,57.88,74,0,5.99
117,Hasaki,JP,2022-03-25 16:22:19,35.7333,140.8333,55.8,71,100,19.19
118,Takab,IR,2022-03-25 16:22:19,36.4009,47.1133,34.09,65,98,11.3
119,Jishou,CN,2022-03-25 16:22:20,28.3167,109.7167,54.23,90,100,4.83
120,Naples,IT,2022-03-25 16:22:12,40.8333,14.25,63.14,73,0,8.05
121,Tumpat,MY,2022-03-25 16:22:21,6.1978,102.171,80.58,89,20,2.3
122,Thompson,CA,2022-03-25 16:22:21,55.7435,-97.8558,1.56,71,100,17.27
123,Bluff,NZ,2022-03-25 16:22:22,-46.6,168.3333,59.88,76,73,17.27
124,Port Elizabeth,ZA,2022-03-25 16:18:35,-33.918,25.5701,65.32,69,92,3.0
125,Portland,US,2022-03-25 16:21:36,45.5234,-122.6762,53.64,81,75,5.75
126,Rudnogorsk,RU,2022-03-25 16:22:23,57.2639,103.7519,12.18,97,100,2.93
127,Teeli,RU,2022-03-25 16:21:19,51.0333,90.2333,4.66,75,20,3.89
128,Fort Nelson,CA,2022-03-25 16:21:09,58.8053,-122.7002,9.99,61,100,3.44
129,Mercedes,AR,2022-03-25 16:21:30,-34.6515,-59.4307,65.64,92,100,20.58
130,Saint-Augustin,CA,2022-03-25 16:22:24,51.226,-58.6502,28.4,91,42,4.07
131,Sechura,PE,2022-03-25 16:22:24,-5.5569,-80.8222,73.6,75,100,5.1
132,Iralaya,HN,2022-03-25 16:22:25,15.0,-83.2333,82.98,61,42,7.92
133,Laguna,US,2022-03-25 16:18:51,38.421,-121.4238,61.32,83,0,8.05
134,Bajil,YE,2022-03-25 16:22:25,15.0584,43.2851,80.74,67,90,11.45
135,Port Hedland,AU,2022-03-25 16:22:25,-20.3167,118.5667,80.65,74,14,5.75
136,Clyde River,CA,2022-03-25 16:22:26,70.4692,-68.5914,-3.77,71,75,18.41
137,Yulara,AU,2022-03-25 16:22:26,-25.2406,130.9889,76.84,36,9,12.66
138,Port Alberni,CA,2022-03-25 16:21:12,49.2413,-124.8028,44.44,95,100,3.0
139,Irbeyskoye,RU,2022-03-25 16:22:27,55.6428,95.4522,12.88,93,61,5.23
140,Morant Bay,JM,2022-03-25 16:23:27,17.8815,-76.4093,84.7,68,75,11.32
141,Mikhaylovka,RU,2022-03-25 16:23:28,50.06,43.2379,34.79,95,56,1.81
142,Matveyevka,RU,2022-03-25 16:23:28,52.15,56.1833,30.63,99,100,3.98
143,Longyearbyen,SJ,2022-03-25 16:23:28,78.2186,15.6401,-0.56,71,40,5.75
144,Saint-Philippe,RE,2022-03-25 16:23:29,-21.3585,55.7679,80.19,83,46,7.2
145,Avarua,CK,2022-03-25 16:23:29,-21.2078,-159.775,77.05,88,20,12.66
146,Filadelfia,US,2022-03-25 16:20:09,39.9523,-75.1638,60.15,62,40,12.66
147,Imbituba,BR,2022-03-25 16:23:30,-28.24,-48.6703,78.82,79,83,3.44
148,Torbay,CA,2022-03-25 16:23:30,47.6666,-52.7314,36.28,70,75,11.99
149,Pangnirtung,CA,2022-03-25 16:23:31,66.1451,-65.7125,8.6,78,40,0.0
150,Ilulissat,GL,2022-03-25 16:23:31,69.2167,-51.1,21.22,58,100,10.36
151,Lompoc,US,2022-03-25 16:21:41,34.6391,-120.4579,52.02,98,100,0.0
152,Hovd,MN,2022-03-25 16:23:32,48.0056,91.6419,17.31,50,1,2.04
153,Samarai,PG,2022-03-25 16:23:32,-10.6167,150.6667,82.02,79,95,6.93
154,Narsaq,GL,2022-03-25 16:23:32,60.9167,-46.05,39.42,53,29,0.83
155,Taoudenni,ML,2022-03-25 16:23:33,22.6783,-3.9836,90.16,11,1,5.84
156,Nyimba,ZM,2022-03-25 16:23:33,-14.5566,30.8149,75.15,86,32,3.49
157,Vizinga,RU,2022-03-25 16:23:33,61.0749,50.1031,17.65,91,82,3.13
158,Caravelas,BR,2022-03-25 16:23:34,-17.7125,-39.2481,84.87,60,53,7.31
159,Sorland,NO,2022-03-25 16:23:34,67.667,12.6934,37.87,78,89,21.7
160,Qingyuan,CN,2022-03-25 16:23:35,23.7,113.0333,75.18,96,79,3.02
161,Tasiilaq,GL,2022-03-25 16:23:35,65.6145,-37.6368,21.36,79,100,10.76
162,Kaitangata,NZ,2022-03-25 16:23:35,-46.2817,169.8464,53.71,93,85,5.82
163,Victoria,HK,2022-03-25 16:23:26,22.2855,114.1577,80.65,89,87,18.99
164,Cockburn Town,TC,2022-03-25 16:23:36,21.4612,-71.1419,78.19,74,67,20.54
165,Zrnovci,MK,2022-03-25 16:23:36,41.8542,22.4444,54.12,46,0,8.63
166,Homer,US,2022-03-25 16:23:37,59.6425,-151.5483,39.04,86,100,4.0
167,Pouso Alegre,BR,2022-03-25 16:19:40,-22.23,-45.9364,79.5,69,75,5.75
168,Bilibino,RU,2022-03-25 16:23:37,68.0546,166.4372,-5.96,100,100,1.95
169,North Vanlaiphai,IN,2022-03-25 16:23:38,23.1333,93.0667,59.65,83,87,1.34
170,Harnosand,SE,2022-03-25 16:23:38,62.6323,17.9379,46.42,65,90,21.14
171,Provideniya,RU,2022-03-25 16:23:39,64.3833,-173.3,7.41,95,100,6.08
172,Kloulklubed,PW,2022-03-25 16:23:39,7.0419,134.2556,77.5,91,100,8.39
173,Brae,GB,2022-03-25 16:23:39,60.3964,-1.353,48.65,97,100,16.78
174,Bandarbeyla,SO,2022-03-25 16:23:40,9.4942,50.8122,78.51,65,10,12.06
175,Tura,IN,2022-03-25 16:23:40,25.5198,90.2201,72.37,69,34,9.22
176,Zeya,RU,2022-03-25 16:23:41,53.75,127.2667,17.94,90,100,4.34
