City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
76,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
79,Galveston,US,83.08,scattered clouds,29.3669,-94.9669,Crystal Suites
80,Samarai,PG,81.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
88,Omboue,GA,77.95,light rain,-1.5746,9.2618,Hotel Olako
89,Mutis,CO,80.74,light rain,6.2262,-77.4044,Paraiso Escondido
93,Butaritari,KI,80.87,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
96,Nanakuli,US,76.44,clear sky,21.3906,-158.1547,Camp Pālehua
98,Pizarro,CO,81.97,overcast clouds,4.9533,-77.366,Hotel Limonar
107,Cururupu,BR,77.58,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
109,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
111,Castro,BR,78.12,few clouds,-24.7911,-50.0119,CHACARA BAILLY
112,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
118,Vanimo,PG,77.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
119,Lamu,KE,84.42,clear sky,-2.2717,40.902,Lamu House
126,Bonthe,SL,80.71,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
127,Atuona,PF,79.02,overcast clouds,-9.8,-139.0333,Villa Enata
128,Pinheiro Machado,BR,78.06,clear sky,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
130,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Scoop Guest House
134,Nuqui,CO,81.97,light rain,5.7125,-77.2708,Hotel Nuquimar
141,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
142,Mar Del Plata,AR,80.62,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
145,Harper,LR,81.27,overcast clouds,4.375,-7.7169,Screensaver
147,Kupang,ID,77.81,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
151,Port Alfred,ZA,84.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
155,Bousse,BF,91.33,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
157,Manadhoo,MV,82.81,clear sky,5.7667,73.3833,Bon Abri maldives
158,Poum,NC,80.67,overcast clouds,-20.2333,164.0167,
165,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
171,Isangel,VU,78.06,overcast clouds,-19.55,169.2667,Tanna Lodge
173,Samana,DO,80.82,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
175,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
179,Sao Desiderio,BR,87.06,overcast clouds,-12.3633,-44.9733,Pousada do Luizão
183,Pilar,BR,82.33,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
186,San Patricio,US,85.15,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
189,Bosaso,SO,78.64,clear sky,11.2842,49.1816,Red Sea Hotel
191,Balabac,PH,78.35,light rain,7.9868,117.0645,Batalla’s Lodging House
194,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
198,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
202,Port Keats,AU,80.22,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
203,Morondava,MG,81.28,light rain,-20.2833,44.2833,La Case Bambou
207,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
211,Mercedes,AR,81.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
212,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
214,Thinadhoo,MV,81.72,clear sky,0.5333,72.9333,
215,Palauig,PH,80.47,few clouds,15.435,119.9045,Alperi Botique Resort
217,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
218,Tautira,PF,81.37,overcast clouds,-17.7333,-149.15,Pension Oaoa
225,Fayaoue,NC,80.06,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
226,Mayumba,GA,76.17,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
235,Malakal,SS,89.4,overcast clouds,9.5334,31.6605,Nile Palace Hotel
236,Ixtapa,MX,91.18,clear sky,20.7,-105.2,hotel la terminal
239,Sao Joao Da Barra,BR,89.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
